description,class,grouped_class
"يتضمن الموافقة على عقد البحث عن الوقود السائل واستغلاله في الجزائر، المبرم في 8 نوفمبر سنة 1989 بمدينة الجزائر بين المؤسسة الوطنية ""سوناطراك"" والشركات الآتية: الشركة الفرنسية للبترول (الجزائر) و ""ربصول"" للتنقيب المغفلة، وكوفبيك ألجيريا المحدودة فيما يخص محيط الحرشة الشرقية، وعلى البروتوكول المتعلق بأعمال البحث عن الوقود السائل في الجزائر واستغلاله، وشركات : طوطال - الشركة الفرنسية للبترول، والشركة الفرنسية للبترول (الجزائر)، وربصول، وكوفبيك، بالإشتراك مع المؤسسة الوطنية ""سوناطراك"" فيما يخص محيط الحرشة الشرقية المبرم في 8 نوفمبر سنة 1989 بمدينة الجزائر، بين الدولة والشركات: طوطال - الشركة الفرنسية للبترول (الجزائر)، وربصول المغفلة، وربصول للتنقيب المغفلة، وشركة كويت فورين بتروليوم ايكسبلوريشن، وكوفبيك ألجيريا المحدودة.",المناجم,الموارد الطبيعية والطاقة
"يتضمن الموافقة على إتفاق البحث عن الوقود السائل وإستغلاله في الجزائر، المبرم بالجزائر العاصمة في 13 مارس سنة 1990 بين المؤسسة الوطنية ""سوناطراك"" وشركة ""ناست أوي"" وعلى البروتوكول المتعلق بأعمال البحث عن الوقود السائل وإستغلاله التي تقوم بها شركة ""ناست أوي"" بالإشتراك مع المؤسسة الوطنية ""سوناطراك"" المبرم بين الدولة وشركة ""ناست أوي"" في 13 مارس سنة 1990 بالجزائر العاصمة.",المناجم,الموارد الطبيعية والطاقة
يحدد صلاحيات وزير المناجم.,المناجم,الموارد الطبيعية والطاقة
يتضمن تنظيم الإدارة المركزية في وزارة المناجم.,المناجم,الموارد الطبيعية والطاقة
"يتضمن منح المؤسسة الوطنية ""سوناطراك"" رخصة البحث في المحيطين المسميين غورد اللوح (401أ) وسيف فاطمة (402أ).",المناجم,الموارد الطبيعية والطاقة
يتضمن تنظيم الأجهزة الخاصة بضغط الغاز.,المناجم,الموارد الطبيعية والطاقة
يتضمن تنظيم الأجهزة الخاصة بضغط البخار،,المناجم,الموارد الطبيعية والطاقة
يتضمن تكوين لجنة المستخدمين الخاصة بسلكي المتصرفين والمترجمين بوزارة المناجم.,المناجم,الموارد الطبيعية والطاقة
يتعلق بمنح رخصة للبحث المنجمي في ولاية تيبازة.,المناجم,الموارد الطبيعية والطاقة
يتعلق بمنح رخصة للبحث عن مناجم الرصاص والزنك والفضة في ولاية جيجل.,المناجم,الموارد الطبيعية والطاقة
يتعلق بمنح رخصة للبحث المنجمي في شمال شرق البلاد.,المناجم,الموارد الطبيعية والطاقة
يتعلق بمنح رخصة للبحث عن معادن النحاس والذهب والنيكل والكوبالت في شرق الهقار.,المناجم,الموارد الطبيعية والطاقة
يتعلق بمنح رخصة إستغلال منجم الرمل الصواني في سيدي بوعلي (الشلف).,المناجم,الموارد الطبيعية والطاقة
يتعلق بمنح رخصة للبحث عن أملاح البوتاس في ناحية بشار.,المناجم,الموارد الطبيعية والطاقة
يتعلق بمنح رخصة للبحث عن مناجم التانطال والنيوبيوم في ناحية أباليكان (الهقار).,المناجم,الموارد الطبيعية والطاقة
يتعلق بمنح رخصة للبحث عن المناجم المتعددة المعادن في الشمال الغربي للبلاد.,المناجم,الموارد الطبيعية والطاقة
يتعلق بمنح رخصة للبحث المنجمي في رقعة تين فلكي.,المناجم,الموارد الطبيعية والطاقة
يتعلق بمنح رخصة للبحث عـن الذهب في ناحية طريق أمسميسا (الهقار).,المناجم,الموارد الطبيعية والطاقة
يتعلق بمنح رخصة للبحث عن الألماس في ناحية رقان (أدرار).,المناجم,الموارد الطبيعية والطاقة
يتعلق بمنح رخصة للبحث عن مناجم الحديد في ناحية الونزة - بوخضرة (تبسة).,المناجم,الموارد الطبيعية والطاقة
يتعلق بمنح رخصة للبحث عن منجم الذهب في شمال البلاد.,المناجم,الموارد الطبيعية والطاقة
يتعلق بمنح رخصة للبحث عن الرصاص والزنك والبيريت في ناحية وادي أميزور (بجاية).,المناجم,الموارد الطبيعية والطاقة
يتعلق بمنح رخصة للبحث عن الكبريت في حوض الشلف.,المناجم,الموارد الطبيعية والطاقة
يتعلق بإلغاء رخصة إستغلال منجم الرمل الصواني في سيدي بوعلي (الشلف),المناجم,الموارد الطبيعية والطاقة
يتعلق بمنح رخصة لإستغلال مقلع الرخام في حنين.,المناجم,الموارد الطبيعية والطاقة
يتعلق بمنح رخصة للبحث عن منجم الكلس في بوزقزة.,المناجم,الموارد الطبيعية والطاقة
"يتضمن منح المؤسسة الوطنية ""سوناطراك"" رخصة للبحث في المحيط المسمى العقرب الغربي الكتلة : 426أ و429أ و431أ.",المناجم,الموارد الطبيعية والطاقة
"يتضمن منح المؤسسة الوطنية ""سوناطراك"" رخصة للبحث في المحيط المسمى الحرشة الشرقية، الكتلة : 423أ.",المناجم,الموارد الطبيعية والطاقة
"يتضمن منح المؤسسة وطنية ""سوناطراك"" رخصة للبحث في المحيطات المسماة بسيدي يدة - المرق - قارة تيسليت وبركين.",المناجم,الموارد الطبيعية والطاقة
"يتضمن منح رخصة للتنقيب في محيط ""شرق بشار"" (الكتل : 115أ- و310أ - و311أ - و316أ).",المناجم,الموارد الطبيعية والطاقة
يتضمن المصادقة على قائمة المستفيدين من رخصة بيع التبغ التي أعدتها لجنة إعادة ترتيب المجاهدين في ولاية سطيف بتاريخ 17 أكتوبر سنة 1989.,المناجم,الموارد الطبيعية والطاقة
يتضمن المصادقة على قائمة المستفيدين من رخص بيع التبغ التي أعدتها لجنة إعادة ترتيب المجاهدين بولاية سطيف بتاريخ 17 أكتوبر سنة 1989.,المناجم,الموارد الطبيعية والطاقة
يحدد صلاحيات وزير المناجم والصناعة.,المناجم,الموارد الطبيعية والطاقة
يتضمن تنظيم الإدارة المركزية في وزارة المناجم والصناعة.,المناجم,الموارد الطبيعية والطاقة
يحدد قواعد تنظيم مصالح المناجم والصناعة في الولاية وعملها.,المناجم,الموارد الطبيعية والطاقة
يتعلق بتنظيم اللجان التقنية وعملها.,المناجم,الموارد الطبيعية والطاقة
يتعلق بإعداد المقاييس.,المناجم,الموارد الطبيعية والطاقة
"يتضمن منح رخصة للتنقيب في المحيط المسمى ""تامسنة"" (الكتلة : 249).",المناجم,الموارد الطبيعية والطاقة
"يتضمن منح رخصة للتنقيب في المحيط المسمى ""حمادة العطشان"" (الكتلتان رقم : 323 و326).",المناجم,الموارد الطبيعية والطاقة
"يتضمن منح رخصة للتنقيب في المحيط المسمى ""عرق الحسيان"" (الكتلة : 320).",المناجم,الموارد الطبيعية والطاقة
"يتضمن منح رخصة للتنقيب في المحيط المسمى ""رقان"" (الكتلتان : 351 و352ب).",المناجم,الموارد الطبيعية والطاقة
"يتضمن منح رخصة للتنقيب في المحيط المسمى ""عرق الراوي"" (الكتلة : 362).",المناجم,الموارد الطبيعية والطاقة
"يتضمن منح رخصة للتنقيب في المحيط المسمى ""مكيران"".",المناجم,الموارد الطبيعية والطاقة
"يتضمن منح رخصة للتنقيب في المحيط المسمى ""بشار"" (الكتل: 310، 311 ب1، 319 ب1، 115 ب1، 312 ب1 و316 ب2).",المناجم,الموارد الطبيعية والطاقة
"يتضمن منح رخصة للتنقيب في المحيط المسمى ""أوف شور - شرقي الجزائر"".",المناجم,الموارد الطبيعية والطاقة
"يتضمن منح رخصة للتنقيب في المحيط المسمى "" تابلبالة "" (الكتلة 328).",المناجم,الموارد الطبيعية والطاقة
يتضمن المصادقة على قائمة المستفيدين من رخص بيع التبغ التي أعدتها لجنة إعادة ترتيب المجاهدين بولاية برج بوعريريج بتاريخ 20 مارس سنة 1988 و03 يونيو سنة 1989 و24 فبراير سنة 1990.,المناجم,الموارد الطبيعية والطاقة
يتضمن المصادقة على قوائم المستفيدين من رخص بيع التبغ التي أعدتها لجنة إعادة ترتيب المجاهدين بولاية سطيف بتاريخ 20 سبتمبر سنة 1988 و25 أبريل سنة 1989 و28 مارس سنة 1990 و19 غشت سنة 1990.,المناجم,الموارد الطبيعية والطاقة
يتعلق بالإجراءات التطبيقية في مجال إنجاز منشآت الطاقة الكهربائية والغازية وتغيير أماكنها وبالمراقبة.,المناجم,الموارد الطبيعية والطاقة
يتضمن إنشاء مركز للخدمات الاجتماعية الجامعية في بومرداس.,المناجم,الموارد الطبيعية والطاقة
يتعلق بمنح رخصة للبحث عن منجم الذهب في قطاع أمسمسة (الهقار).,المناجم,الموارد الطبيعية والطاقة
يتعلق بمنح رخصة للبحث عن منجم الرصاص والزنك والبيريت في قطاع شعبة الحمرة (سطيف).,المناجم,الموارد الطبيعية والطاقة
يتعلق بمنح رخصة للبحث عن منجم التنغستين والقصدير في قطاع بشير (الهقار).,المناجم,الموارد الطبيعية والطاقة
يتعلق بمنح رخصة للبحث عن منجم الذهب في قطاع تاسكرات (الهقار).,المناجم,الموارد الطبيعية والطاقة
يتعلق بمنح رخصة للبحث عن منجم للزئبق في قطاع مراسمة 2 (سكيكدة).,المناجم,الموارد الطبيعية والطاقة
يتضمن إنهاء مهام مكلف بالدراسات والتلخيص بوزارة الطاقة والصناعات الكيماوية والبتروكيماوية - سابقا.,المناجم,الموارد الطبيعية والطاقة
يتضمن تحديد أسعار الكهرباء والغاز.,المناجم,الموارد الطبيعية والطاقة
"يتضمن منح رخصة للبحث عن الوقود للشركة الوطنية سوناطراك في المحيط المسمى الوعر ""الكتلة"" 212 - 221أ -222أ و243.",المناجم,الموارد الطبيعية والطاقة
يتعلق بمنح رخصة للبحث عن منجم الحصى في منطقة شطايبي (عنابة).,المناجم,الموارد الطبيعية والطاقة
يتعلق بمنح رخصة للبحث عن منجم الحصى في منطقة تيبازة.,المناجم,الموارد الطبيعية والطاقة
"يتضمن منح رخصة للتنقيب في المحيط المسمى ""التلاغ"" (الكتلتان: 109 و131).",المناجم,الموارد الطبيعية والطاقة
"يتضمن منح رخصة للتنقيب في المحيط المسمى ""سور الغزلان"" (الكتل: 104 - 119أ - 105أ - 117أ - 118أ - 122أ - 136أ - 137أ - 138أ - 139).",المناجم,الموارد الطبيعية والطاقة
"يتضمن منح رخصة للتنقيب في المحيط المسمى ""بلغازي"" (الكتلة : 354).",المناجم,الموارد الطبيعية والطاقة
يتضمن إنشاء مفتشية عامة لوزارة المناجم والصناعة وتحديد مهامها وتنظيمها وعملها.,المناجم,الموارد الطبيعية والطاقة
"يتضمن الموافقة على عقد البحث عن المحروقات السائلة وإستغلالها في الجزائر، المبرم في 20 ديسمبر سنة 1990 بمدينة الجزائر بين المؤسسة الوطنية ""سوناطراك"" وشركة ""أجيب"" (أفريكا) ذات المسؤوليةالمحدودة، وعلى البروتوكول المتعلق بأعمال البحث عن المحروقات السائلة واستغلالها في الجزائر، التي تقوم بها شركة ""أجيب"" (أفريكا) ذات المسؤولية المحدودة بالإشتراك مع المؤسسة الوطنية ""سوناطراك"" المبرم بمدينة الجزائر في 20 ديسمبر سنة 1990 بين الدولة وشركة ""أجيب"" (أفريكا) ذات المسؤولية المحدودة.",المناجم,الموارد الطبيعية والطاقة
"يتضمن الموافقة على عقد البحث عن المحروقات السائلة وإستغلالها في الجزائر، المبرم في 20 ديسمبر سنة 1990 بمدينة الجزائر بين المؤسسة الوطنية ""سوناطراك"" والشركة المغفلة ""ريبصول اكسبلوراثيون أرخليا"" وعلى البروتوكول المتعلق بأعمال البحث عن المحروقات السائلة وإستغلالها في الجزائر، التي تقوم بها الشركتان المغفلتان ""ريبصول"" و""ريبصول إكسبلوراثيون أرخليا"" بالاشتراك مع المؤسسة الوطنية ""سوناطراك"" المبرم بمدينة الجزائر في 20 ديسمبر سنة 1990 بين الدولة والشركتين المغفلتين ""ريبصول"" و""ريبصول اكسبلوراثيون أرخليا"".",المناجم,الموارد الطبيعية والطاقة
"يتضمن الموافقة على ملحق العقد المؤرخ في 8 نوفمبر سنة 1989 المتعلق بالبحث عن المحروقات السائلة وإستغلالها في الجزائر، المبرم في 10 نوفمبر سنة 1990 بمدينة الجزائر، بين المؤسسة الوطنية ""سوناطراك"" والشركات الآتية : الشركة الفرنسية للبترول (الجزائر) - ريبصول للتنقيب المغفلة، وكوفبيك الجزائر محدودة المسؤولية وشركة بيكتن الجزائر، فيما يخص محيط العقرب الغربي، وعلى الملحق بالبروتوكول المؤرخ في 8 نوفمبر سنة 1989 المتعلق بأعمال البحث عن المحروقات السائلة وإستغلالها في الجزائر التي تقوم بها الشركات الآتية : الشركة الفرنسية للبترول طوطال والشركة الفرنسية للبترول في الجزائر، والشركة المغفلة ريبصول، والشركة المغفلة ريبصول للتنقيب، وشركة الكويت للتنقيب عن البترول في الخارج، وشركة كوفبيك المحدودة المسؤولية في الجزائر وشركة بيكتن العالمية وشركة بيكتن في الجزائر، بالإشتراك مع المؤسسة الوطنية ""سوناطراك"" في محيط العقرب الغربي، المبرم في 10 نوفمبر سنة 1990 بمدينة الجزائر، بين الدولة والشركات الآتية : شركة ""طوطال"" الفرنسية للبترول والشركة الفرنسية للبترول في الجزائر، وشركة ريبصول المغفلة وشركة الكويت للتنقيب عن البترول في الخارج وشركة ريبصول للتنقيب، وشركة كوفبيك (الجزائر) المحدودة المسؤولية، وشركة بيكتن العالمية وشركة بيكتن الجزائر.",المناجم,الموارد الطبيعية والطاقة
"يتضمن الموافقة على ملحق العقد المؤرخ في 8 نوفمبر سنة 1989 المتعلق بالبحث عن المحروقات السائلة وإستغلالها في الجزائر، المبرم في 10 نوفمبر سنة 1990 بمدينة الجزائر، بين المؤسسة الوطنية ""سوناطراك"" والشركات الآتية : الشركة الفرنسية للبترول (الجزائر)، ريبصول للتنقيب المغفلة، وكوفبيك الجزائر المحدودة المسؤولية وشركة بيكتن الجزائر، فيما يخص محيط الحرشة الشرقي، وعلى الملحق بالبروتوكول المؤرخ في 8 نوفمبر سنة 1989 المتعلق بأعمال البحث عن المحروقات السائلة واستغلالها في الجزائر التي تقوم بها الشركات الآتية : الشركة الفرنسية للبترول ""طوطال"" والشركة الفرنسية للبترول في الجزائر، والشركة المغفلة ريبصول، والشركة المغفلة ريبصول للتنقيب، وشركة الكويت للتنقيب عن البترول في الخارج، وشركة كوفبيك المحدودة المسؤولية في الجزائر وشركة بيكتن العالمية وشركة بيكتن في الجزائر، بالإشتراك مع المؤسسة الوطنية ""سوناطراك"" في المحيط الحرشة الشرقي المبرم في 10 نوفمبر سنة 1990 بمدينة الجزائر، بين الدولة والشركات الآتية : شركة ""طوطال"" الفرنسية للبترول، والشركة الفرنسية للبترول في الجزائر، وشركة ريبصول المغفلة وشركة الكويت للتنقيب عن البترول في الخارج وشركة ريبصول للتنقيب، وشركة كوفبيك (الجزائر) المحدودة المسؤولية، وشركة بيكتن العالمية وشركة بيكتن الجزائر.",المناجم,الموارد الطبيعية والطاقة
"يتضمن منح رخصة للتنقيب في المساحة المسماة "" دايات الفرس "" ( الكتلتان 324 ب و327 ).",المناجم,الموارد الطبيعية والطاقة
"يتضمن منح رخصة للتنقيب في المساحة الـمـسماة "" ألندا "" ( الكتلة 214 ).",المناجم,الموارد الطبيعية والطاقة
"يـتـضـمن منح رخصة للتنقيب في المساحة المـسـماة "" أن أمجان "" ( الكتلة 213 ).",المناجم,الموارد الطبيعية والطاقة
"يتضمن منح رخصة للتنقيب عن المحروقات للمؤسسة الوطنية الشركة الوطنية للبحث عن الوقود وإنتاجه ونقله وتحويله وتسويقه ""سوناطراك"" في المحيط المسمى ""كرزاز"" (المجموعتان: 321 ب1 و355ب 1).",المناجم,الموارد الطبيعية والطاقة
يتضمن حل المدرسة التقنية للمناجم بمدينة مليانة وتحويل ممتلكاتها وحقوقها وإلتزاماتها وموظيفها إلى جامعة البليدة.,المناجم,الموارد الطبيعية والطاقة
"يتضمن منح رخصة للبحث عن المحروقات للشركة الوطنية ""سوناطراك"" في المساحة المسماة ""الواعبد شرقا"" (الكتلتان : 103 و313).",المناجم,الموارد الطبيعية والطاقة
"يتضمن منح رخصة للبحث عن المحروقات للشركة الوطنية سوناطراك في المساحة المسماة ""بريزينة"" (الكتلة : 116).",المناجم,الموارد الطبيعية والطاقة
"يتضمن منح رخصة للبحث عن المحروقات للشركة الوطنية سوناطراك في المساحة المسماة ""نقرين"" (الكتل : 126 و108 و107 و124أ).",المناجم,الموارد الطبيعية والطاقة
"يتضمن منح رخصة للبحث عن المحروقات للشركة الوطنية سوناطراك في المساحة المسماة ""وادي النموس "" (الكتل: 311 ب2، 316 ب1، 319 ب2، 321 ب2).",المناجم,الموارد الطبيعية والطاقة
"يتضمن منح رخصة للبحث عن المحروقات للشركة الوطنية سوناطراك في المساحة المسماة ""إن بزان"" (الكتلتان : 340 و338).",المناجم,الموارد الطبيعية والطاقة
"يتضمن منح رخصة للبحث عن المحروقات للشركة الوطنية سوناطراك في المساحة المسماة ""أولف"" (الكتل : 339 و337 و332 و341).",المناجم,الموارد الطبيعية والطاقة
"يتضمن منح رخصة للبحث عن المحروقات للشركة الوطنية سوناطراك في المساحة المسماة ""إن صالح"" (الكتل : 342 و343 و341).",المناجم,الموارد الطبيعية والطاقة
